repository,issue_number,title,assignees,days_inactive,last_updated,project_status,url
propaganda,5,Newspaper country mentions and sentiment on ProQuest,emilysilcock,10,2025-07-22,In progress,https://github.com/MaxMillerLab/propaganda/issues/5
interest_rate_risk,14,Check housing and stock wealth along income and wealth,MaxMillerLab,7,2025-07-25,No Status,https://github.com/MaxMillerLab/interest_rate_risk/issues/14
